Fecha;Lifetime Total Likes;Daily New Likes;Daily Unlikes;Daily Page Engaged Users;Weekly Page Engaged Users;28 Days Page Engaged Users;Daily Total Reach;Weekly Total Reach;28 Days Total Reach;Daily Organic Reach;Weekly Organic Reach;28 Days Organic Reach;Daily Paid Reach;Weekly Paid Reach;28 Days Paid Reach;Daily Viral Reach;Weekly Viral Reach;28 Days Viral Reach;Daily Total Impressions;Weekly Total Impressions;28 Days Total Impressions;Daily Organic impressions;Weekly Organic impressions;28 Days Organic impressions;Daily Paid Impressions;Weekly Paid Impressions;28 Days Paid Impressions;Daily Viral impressions;Weekly Viral impressions;28 Days Viral impressions;Daily Logged-in Page Views;Weekly Logged-in Page Views;Daily Logged-in Page Views;Weekly Logged-in Page Views;Daily Reach Of Page Posts;Weekly Reach Of Page Posts;28 Days Reach Of Page Posts;Daily Organic Reach of Page posts;Weekly Organic Reach of Page posts;28 Days Organic Reach of Page posts;Daily Paid Reach of Page posts;Weekly Paid Reach of Page posts;28 Days Paid Reach of Page posts;Daily Viral Reach Of Page Posts;Weekly Viral Reach Of Page Posts;28 Days Viral Reach Of Page Posts;Daily Total Impressions of your posts;Weekly Total Impressions of your posts;28 Days Total Impressions of your posts;Daily Organic impressions of your posts;Weekly Organic impressions of your posts;28 Days Organic impressions of your posts;Daily Paid impressions of your posts;Weekly Paid impressions of your posts;28 Days Paid impressions of your posts;Daily Viral Impressions Of Your Posts;Weekly Viral Impressions Of Your Posts;28 Days Viral Impressions Of Your Posts;Daily Total Consumers;Weekly Total Consumers;28 Days Total Consumers;Daily Page Consumptions;Weekly Page Consumptions;28 Days Page Consumptions;Daily Negative Feedback;Weekly Negative Feedback;28 Days Negative Feedback;Daily Negative Feedback From Users;Weekly Negative Feedback From Users;28 Days Negative Feedback From Users;Daily Total Check-Ins;Weekly Total Check-Ins;28 Days Total Check-Ins;Daily Total Check-Ins;Weekly Total Check-Ins;28 Days Total Check-Ins;Daily Total Check-Ins Using Mobile Devices;Weekly Total Check-Ins Using Mobile Devices;28 Days Total Check-Ins Using Mobile Devices;Daily Total Check-Ins Using Mobile Devices;Weekly Total Check-Ins Using Mobile Devices;28 Days Total Check-Ins Using Mobile Devices;Daily Total Organic Views;Weekly Total Organic Views;28 Days Total Organic Views;Daily Total Promoted Views;Weekly Total Promoted Views;28 Days Total Promoted Views;Daily Total Organic 30-Second Views;Weekly Total Organic 30-Second Views;28 Days Total Organic 30-Second Views;Daily Paid 30-Second Views;Weekly Paid 30-Second Views;28 Days Paid 30-Second Views;Daily Total Video Views;Weekly Total Video Views;28 Days Total Video Views;Daily Total Auto-Played Views;Weekly Total Auto-Played Views;28 Days Total Auto-Played Views;Daily Total Clicked Views;Weekly Total Clicked Views;28 Days Total Clicked Views;Daily Video Repeats;Weekly Video Repeats;28 Days Video Repeats;Daily Total Unique Video Views;Weekly Total Unique Video Views;28 Days Total Unique Video Views;Daily Total 30-Second Views;Weekly Total 30-Second Views;28 Days Total 30-Second Views;Daily Auto-Played 30-Second Views;Weekly Auto-Played 30-Second Views;28 Days Auto-Played 30-Second Views;Daily Total Clicked 30-Second Views;Weekly Total Clicked 30-Second Views;28 Days Total Clicked 30-Second Views;Daily Total 30-Second Repeats;Weekly Total 30-Second Repeats;28 Days Total 30-Second Repeats;Daily Total Unique 30-Second Views;Weekly Total Unique 30-Second Views;28 Days Total Unique 30-Second Views;Daily Total: total action count per Page;Weekly Total: total action count per Page;Daily Total get direction click count per Page;Weekly Total get direction click count per Page;Daily Total get direction click count per Page;Weekly Total get direction click count per Page;Daily Total phone calls click count per Page;Weekly Total phone calls click count per Page;Daily Total phone calls click count per Page;Weekly Total phone calls click count per Page;Daily Total website click count per Page;Weekly Total website click count per Page;Daily Total website click count per Page;Weekly Total website click count per Page
4/22/19;25861;5;1;63;990;4434;8581;69374;222711;301;2009;8276;8357;67776;215885;44;1253;6327;10292;115939;582337;609;4203;21211;9666;111625;560823;75;1963;11287;17;111;6;36;8581;69326;222399;298;2003;8259;8357;67776;215885;41;1243;6308;10268;115800;581950;602;4175;21128;9666;111625;560822;68;1935;11204;53;873;3745;71;1057;4791;;1;4;;1;9;;;;;;;;;;;;;18;110;409;;;;6;32;123;;;;18;110;409;17;88;293;1;22;116;11;74;230;7;36;179;6;32;123;6;28;93;;4;30;2;16;59;4;16;64;;2;;;;;;;;;;;;
4/23/19;25863;2;;93;996;4299;9634;65421;221915;643;2187;8268;9082;63890;214671;151;1271;6295;11718;108003;567063;1044;4686;21709;10649;103213;545034;216;1981;11363;25;104;8;36;9609;65376;221605;643;2181;8251;9082;63890;214671;151;1262;6282;11693;107879;566665;1044;4666;21632;10649;103213;545033;216;1961;11286;74;873;3672;89;1040;4647;;1;4;;1;9;;;;;;;;;;;;;22;109;396;;;;5;28;111;;;;22;109;396;16;86;289;6;23;107;14;72;222;8;37;174;5;28;111;4;24;88;1;4;23;2;13;49;3;15;62;1;3;;;;;;;;;;;;
4/24/19;25865;4;2;108;915;4251;8230;60942;220289;255;1847;8300;7980;59775;212696;105;1090;6313;9989;101233;544521;433;3697;21877;9538;97434;522316;158;1645;11369;18;102;7;36;8225;60921;219984;254;1840;8283;7980;59775;212696;104;1079;6299;9970;101111;544115;432;3677;21800;9538;97434;522315;157;1625;11292;90;810;3654;98;981;4512;;1;4;;1;9;;;;;;;;;;;;;14;108;395;;;;2;23;106;;;;14;108;395;11;85;292;3;23;103;7;69;224;7;39;171;2;23;106;2;19;87;;4;19;;8;47;2;15;59;1;3;;;;;;;;;1;1;1;1
4/25/19;25866;2;;114;832;4127;9199;57835;217774;525;1784;8400;8790;56585;210356;110;896;6279;11254;93174;526392;793;3832;22306;10426;89220;503738;169;1377;11371;35;122;13;41;9194;57817;217483;524;1772;8382;8790;56585;210356;109;883;6266;11217;93031;525966;791;3811;22229;10426;89220;503737;167;1356;11294;98;737;3504;105;883;4329;;;4;;;9;;;;;;;;;;;;;15;117;380;;;;4;25;104;;;;15;117;380;9;89;280;6;28;100;4;71;216;11;46;164;4;25;104;3;20;86;1;5;18;;9;45;4;16;59;;2;;;;;;;;;;1;;1
4/26/19;25867;2;;116;711;3948;9178;49185;212403;737;1880;8213;8496;47641;205669;146;775;6104;12188;85047;511183;1466;4853;22191;10707;80067;488654;258;1305;11194;15;127;3;38;9178;49174;212127;737;1870;8197;8496;47641;205669;146;763;6091;12173;84901;510770;1466;4834;22117;10707;80067;488653;258;1286;11120;96;625;3329;111;766;4152;2;2;6;2;2;9;;;;;;;;;;;;;12;90;376;;;;7;25;106;;;;12;90;376;10;67;276;2;23;100;7;51;217;5;39;159;7;25;106;6;21;87;1;4;19;3;13;47;4;12;59;2;4;;;;;;;;;;1;;1
4/27/19;25866;4;1;95;627;3764;10320;44039;204811;268;1799;8018;10149;42569;198593;93;612;5936;12815;80782;494836;438;4945;21831;12377;75717;472677;148;1150;10888;;120;;35;10320;44020;204554;267;1789;7991;10149;42569;198593;92;603;5919;12814;80646;494432;437;4929;21756;12377;75717;472676;147;1134;10813;86;553;3168;100;665;3949;;2;6;;2;9;;;;;;;;;;;;;11;97;375;;;;1;26;103;;;;11;97;375;9;76;277;2;21;98;5;55;218;6;42;157;1;26;103;1;22;85;;4;18;;13;47;1;13;56;1;5;;;;;;;;;;1;;1
4/28/19;25867;2;1;90;619;3601;9086;42091;195862;134;1763;7914;8998;40589;189911;61;576;5828;11200;79456;472006;228;5011;21454;10971;74334;450223;97;1121;10655;1;111;1;32;9086;42056;195627;131;1756;7898;8998;40589;189911;58;568;5809;11195;79330;471600;224;4996;21378;10971;74334;450222;93;1106;10579;78;548;3023;87;661;3745;;2;6;;2;9;;;;;;;;;;;;;2;94;359;;;;;25;100;;;;2;94;359;2;74;269;;20;90;;55;206;2;39;153;;25;100;;22;84;;3;16;;13;46;;12;54;;5;;;;;;;;;;1;;1
4/29/19;25866;1;1;63;608;3624;8577;41582;195467;115;1739;7811;8469;40165;189447;56;577;5814;10962;80126;474141;184;4586;20827;10760;75428;452972;92;1138;10502;18;112;7;32;8559;41548;195233;115;1737;7785;8469;40165;189447;56;573;5794;10944;80006;473724;184;4578;20753;10760;75428;452971;92;1130;10428;50;535;3045;61;651;3764;1;3;5;1;3;8;;;;;;;;;;;;;9;85;362;;;;3;22;102;;;;9;85;362;8;65;273;1;20;89;2;47;208;7;38;154;3;22;102;3;19;86;;3;16;1;12;47;2;10;55;;5;;;;;;;;;;1;;1
4/30/19;25866;2;1;90;615;3477;9750;42019;191473;681;1735;7955;9084;40951;185515;113;571;5837;12195;80603;462289;1022;4564;21521;11153;75932;440414;217;1139;10521;20;107;5;27;9750;42019;191248;678;1730;7944;9084;40951;185515;111;564;5826;12173;80486;461860;1020;4554;21447;11153;75932;440413;215;1129;10447;69;537;2917;87;649;3677;;3;5;;3;8;;;;;;;;;;;;;12;75;359;;;;6;23;99;;;;12;75;359;8;57;268;4;18;91;6;40;208;6;35;151;6;23;99;6;21;85;;2;14;4;15;49;2;8;50;;4;;;;;;;;;;1;;1
5/1/19;25866;1;1;263;776;3515;15111;46475;189959;2246;3299;9255;13033;43948;182011;988;1456;6701;19334;89948;451519;3541;7672;24477;15782;82176;426684;1424;2405;11832;11;100;2;22;14950;46475;189738;2124;3192;9161;13033;43948;182011;847;1320;6587;19080;89596;450844;3298;7420;24161;15782;82176;426683;1181;2153;11516;214;667;2921;243;794;3697;1;4;6;1;4;9;;;;;;;;;;;;;16;77;355;;;;11;32;105;;;;16;77;355;14;60;269;2;17;86;10;43;209;6;34;146;11;32;105;11;30;92;;2;13;7;22;58;4;10;47;1;4;;;;;;;;;;;;
5/2/19;25865;;;214;872;3488;14813;50199;186669;749;3696;9592;14121;47476;178879;446;1749;7062;18830;97524;438908;1230;8109;25270;17583;89333;413271;635;2871;12286;17;82;5;13;14793;50135;186038;707;3572;9436;14121;47476;178879;396;1582;6862;18717;97096;438131;1134;7763;24861;17583;89333;413270;539;2525;11877;187;753;2892;206;895;3669;;4;6;;4;8;;;;;;;;;;;;;18;80;351;;;;6;34;107;;;;18;80;351;18;69;271;;11;80;8;47;205;10;33;146;6;34;107;6;33;94;;1;13;3;25;61;3;9;46;;4;;;;;;;;;;;;
5/3/19;25864;2;2;169;937;3560;45264;83959;221303;276;3583;9635;44825;80986;214223;194;1772;7071;48577;133913;469104;415;7058;24414;48153;126779;444326;263;2876;11956;9;76;4;17;45264;83902;220637;264;3444;9460;44825;80986;214223;183;1597;6855;48552;133475;468315;399;6696;23990;48153;126779;444325;247;2514;11532;154;825;2950;166;950;3711;;2;6;;2;7;;;;;;;;;;;;;10;78;350;;;;1;28;103;;;;10;78;350;6;65;270;4;13;80;2;40;202;8;38;148;1;28;103;1;28;92;;;11;;20;60;1;8;43;;2;;;;;;;;;;;;
5/4/19;25865;3;1;202;1041;3714;40143;111554;245990;186;3618;9679;40128;109032;239166;106;1779;7064;45073;166171;501905;432;7052;24415;44636;159038;477122;152;2880;11802;5;81;3;20;40143;111517;245323;185;3482;9502;40128;109032;239166;104;1599;6849;45065;165726;501112;429;6688;23991;44636;159038;477121;149;2516;11378;188;920;3113;206;1056;3858;;2;6;;2;7;;;;;;;;;;;;;13;80;360;;;;6;33;109;;;;13;80;360;9;65;278;4;15;82;7;42;209;6;38;151;6;33;109;3;30;95;3;3;14;2;22;61;4;11;48;2;3;;;;;;;;;1;1;1;1
5/5/19;25863;2;3;194;1136;3854;56137;144417;273243;176;3696;9630;56015;142778;267595;131;1847;7006;64214;219185;556896;325;7149;24542;63886;211953;531984;193;2976;11849;3;83;2;21;56137;144301;272420;168;3538;9448;56015;142778;267595;123;1652;6787;64200;218731;556094;314;6778;24111;63886;211953;531983;182;2605;11418;184;1019;3255;197;1166;3994;;2;6;;2;7;;;;;;;;;;;;;12;90;367;;;;4;37;113;;;;12;90;367;7;70;282;5;20;85;6;48;213;6;42;154;4;37;113;1;31;96;3;6;17;3;25;64;1;12;49;;3;;;;;;;;;;1;;1
5/6/19;25866;5;1;367;1440;4135;86822;202090;327233;363;3726;9573;86497;200130;320620;56;1840;6907;101550;309773;646753;825;7790;24589;100666;301859;621747;97;2981;11685;59;124;13;26;86822;201968;325505;359;3578;9377;86497;200130;320620;52;1639;6686;101486;309273;645901;820;7414;24155;100666;301859;621746;92;2605;11251;340;1312;3543;371;1476;4296;;1;4;;1;5;;;;;;;;;;;;;71;152;414;583;583;583;24;58;129;105;105;105;654;735;997;494;556;756;160;179;241;69;114;281;585;621;716;129;163;234;89;117;177;40;46;57;21;47;81;108;116;153;;3;;;;;;;;;;1;;1
5/7/19;25869;5;1;2696;3941;6518;102930;262002;382636;1184;4635;10160;102815;259890;375522;299;1993;6801;121150;418728;749926;1669;8437;24541;114417;405123;719916;403;3167;11396;5064;5168;9;29;102930;261798;381024;1184;4487;9983;102815;259890;375522;299;1784;6584;116086;413186;744026;1669;8063;24111;114417;405123;719915;403;2793;10966;2659;3795;5926;2891;4280;7033;;1;4;;1;5;;;;;;;;;;;;;80;220;485;5848;6431;6431;17;69;145;869;974;974;5928;6651;6916;3964;4512;4715;1964;2139;2201;347;602;730;5581;6049;6186;886;1043;1119;451;562;628;435;481;491;153;209;247;733;834;872;2;5;;;;;;;;;;1;;1
5/8/19;25870;1;;3907;7056;9277;106310;311647;431343;583;3058;10157;105855;310083;422094;187;1277;6684;127651;527045;852616;1159;6055;24808;126458;515799;822321;284;2027;11225;34;5191;10;36;106310;311357;429296;581;2984;9979;105855;310083;422094;186;1207;6474;127616;521722;846699;1158;5923;24378;126458;515799;822321;283;1895;10795;3873;6949;8830;4312;8349;11157;;;4;;;5;;;;;;;;;;;;;36;240;514;5294;11725;11725;9;67;153;737;1711;1711;5330;11965;12239;2914;7412;7624;2416;4553;4615;825;1985;2149;4505;9980;10090;746;1778;1864;302;853;929;444;925;935;154;416;464;592;1362;1400;;4;;;;;;;;;;1;;1
5/9/19;25870;1;1;4010;9743;12151;64966;344520;464429;424;2734;9091;64540;343569;455727;241;1079;5681;76878;585093;906345;735;5560;23394;76128;574344;877462;347;1739;9907;15;5189;5;37;64966;344520;462056;424;2700;8897;64540;343569;455727;241;1056;5497;76863;579868;900427;735;5524;22965;76128;574344;877462;347;1703;9478;3996;9658;11628;4672;12815;15605;;;4;;;5;;;;;;;;;;;;;35;257;536;4963;16688;16688;14;75;163;749;2460;2460;4998;16945;17224;2535;9929;10149;2463;7016;7075;930;4064;4220;4068;12881;13004;763;2535;2623;237;1084;1163;526;1451;1460;203;698;758;560;1837;1865;;4;;;;;;;;;;1;;1
5/10/19;25869;1;2;3770;12060;14350;80389;365491;489534;163;2580;8657;80264;363656;481883;108;993;5273;93461;629977;977158;276;5421;22665;93127;619318;948952;154;1630;9226;58;5238;4;36;80389;365491;488434;163;2570;8471;80264;363656;481883;108;982;4913;93402;624718;971191;275;5400;22239;93127;619318;948952;153;1609;8800;3764;11994;13902;4221;16870;19643;;;4;;;5;;;;;;;;;;;;;28;275;558;4357;21045;21045;8;82;168;658;3118;3118;4385;21320;21603;1978;11901;12122;2407;9419;9481;713;5675;5851;3672;15645;15752;666;3200;3286;142;1225;1302;524;1975;1984;182;936;995;484;2264;2291;;4;;;;;;;;;;1;;1
5/11/19;25868;;;3461;14253;16578;68240;370338;506402;183;2538;8089;68024;369068;498700;130;1016;4664;81516;666420;1037868;272;5261;21993;79825;654507;1008920;196;1674;8606;1419;6652;2;35;68240;370338;505225;183;2528;7926;68024;369068;498700;130;1005;4460;80097;659750;1030489;272;5243;21569;79825;654507;1008920;196;1656;8182;3444;14128;16062;3788;20452;23279;1;1;5;1;1;6;;;;;;;;;;;;;10;272;557;4783;25828;25828;1;77;167;603;3721;3721;4793;26100;26385;2532;14424;14647;2261;11676;11738;783;7511;7651;4010;18589;18734;604;3798;3888;186;1408;1486;418;2390;2402;126;1135;1199;478;2663;2689;;2;;;;;;;;;;;;
5/12/19;25868;3;1;3028;15465;17867;92928;381199;526373;76;2480;7660;92928;380322;519665;58;961;4283;116702;718908;1137680;141;5077;21346;116561;707182;1109384;78;1559;7981;;6649;;33;92928;381199;525770;75;2474;7504;92928;380322;519665;57;956;4090;116701;712251;1130309;140;5069;20925;116561;707182;1109384;77;1551;7560;2997;15292;17410;3279;23534;26459;;1;5;;1;6;;;;;;;;;;;;;4;264;559;2935;28763;28763;;73;167;341;4062;4062;2939;29027;29322;1502;15919;16148;1437;13108;13174;298;8322;8465;2641;20705;20857;341;4135;4229;151;1558;1637;190;2577;2592;53;1231;1292;288;2904;2937;;2;;;;;;;;;;;;
5/13/19;25867;1;1;141;15225;17847;75782;366678;544813;49;2335;7508;75719;365866;540067;36;940;4082;92189;709547;1215385;83;4335;20914;92089;698605;1187517;51;1513;7595;17;6607;5;28;75782;366678;544358;49;2335;7351;75719;365866;540067;36;940;3880;92172;702937;1208016;83;4332;20499;92089;698605;1187517;51;1510;7180;127;15065;17394;130;23293;26477;;1;5;;1;6;;;;;;;;;;;;;17;210;557;1;28181;28764;9;58;170;;3957;4062;18;28391;29321;17;15442;16151;1;12949;13170;8;8110;8511;10;20281;20810;9;4015;4232;8;1477;1641;1;2538;2591;6;1188;1303;3;2827;2929;;2;;;;;;;;;;;;
5/14/19;25865;;;131;13869;17897;63039;342690;545454;66;1368;7437;62988;341692;540981;53;736;4053;77716;666113;1273447;133;2799;20486;77576;661764;1246032;77;1187;7474;7;1550;4;22;63039;342690;545286;65;1366;7272;62988;341692;540981;52;734;3860;77708;664559;1266110;132;2795;20078;77576;661764;1246032;76;1183;7066;125;13685;17454;145;20547;26516;;1;5;;1;6;;;;;;;;;;;;;9;139;543;32;22365;28796;6;47;167;7;3095;4069;41;22504;29339;40;11518;16173;1;10986;13166;3;6095;8536;38;16409;20803;13;3142;4236;13;1039;1646;;2103;2590;2;964;1299;11;2178;2937;;;;;;;;;;;;;;
5/15/19;25867;4;1;267;12043;17994;83277;326884;556384;1487;2141;7929;82009;323896;551928;497;1016;4032;109116;647578;1365804;4682;6322;23746;104380;639686;1335095;1104;2007;8084;53;1569;11;22;83277;326884;556210;1487;2138;7782;82009;323896;551928;497;1014;3840;109054;645997;1358426;4674;6311;23331;104380;639686;1335095;1103;2003;7676;238;11896;17583;317;16552;26676;2;2;6;5;6;11;;;;;;;;;;;;;251;354;779;882;17953;29678;70;108;230;74;2432;4143;1133;18307;30457;1089;9693;17250;44;8614;13207;35;4380;8801;1098;13927;21656;144;2540;4373;125;862;1764;19;1678;2609;26;739;1310;118;1801;3063;;;;;;;;;;;;;;
5/16/19;25867;1;;214;9433;18052;71546;321017;564400;507;2181;7768;70966;317682;560422;271;1006;3847;83582;654282;1430073;1293;6880;24381;82267;645825;1398722;547;2207;8194;22;1576;4;20;71546;321017;564220;506;2178;7618;70966;317682;560422;269;1003;3654;83556;652690;1422685;1289;6865;23963;82267;645825;1398722;543;2199;7783;192;9312;17684;210;12090;26683;1;2;6;4;10;14;;;;;;;;;;;;;60;379;833;2595;15585;32273;7;101;235;181;1864;4324;2655;15964;33106;2615;9773;19860;40;6191;13246;120;2407;8668;2535;13557;24438;188;1965;4559;177;802;1939;11;1163;2620;3;478;1300;185;1487;3259;;;;;;;;;;;;;;
5/17/19;25865;2;4;217;6877;18121;82432;316708;573375;640;2424;7761;81495;313589;569427;280;1127;3854;97763;658584;1507521;1104;7708;25040;96640;649338;1475502;449;2502;8313;19;1537;3;19;82432;316708;573189;639;2414;7605;81495;313589;569427;279;1121;3642;97738;657026;1500120;1098;7688;24618;96640;649338;1475502;443;2489;7898;194;6727;17715;232;8101;26687;2;3;7;2;12;16;;;;;;;;;;;;;68;419;862;2470;13698;34743;28;121;256;154;1360;4478;2538;14117;35605;2509;10304;22337;29;3813;13268;146;1105;9015;2392;13012;26590;182;1481;4734;170;830;2104;12;651;2630;13;247;1316;169;1234;3418;;;;;;;;;;;;;;
5/18/19;25864;2;2;149;4120;18030;67173;310442;579031;407;2531;7858;66647;307811;574792;267;1232;3795;74976;652044;1565417;666;8102;25360;74309;643822;1533084;381;2687;8391;1;119;1;18;67173;310442;578841;407;2525;7685;66647;307811;574792;267;1227;3583;74975;651904;1558026;666;8082;24942;74309;643822;1533084;381;2674;7980;132;3961;17644;146;4459;26632;;3;7;;11;16;;;;;;;;;;;;;52;461;910;2652;11567;37395;5;125;261;161;918;4639;2704;12028;38305;2682;10454;25019;22;1574;13286;70;775;9620;2634;11253;28685;166;1043;4900;163;807;2267;3;236;2633;;95;1334;166;948;3566;;;;;;;;;;;;;;
5/19/19;25867;4;1;252;1349;18213;95985;313299;596685;234;2612;7918;95893;310806;592979;139;1284;3757;105703;641045;1658594;365;8326;25563;105338;632599;1626068;219;2828;8484;;119;;18;95985;313299;596484;233;2605;7743;95893;310806;592979;138;1279;3555;105702;640905;1651217;364;8306;25149;105338;632599;1626068;218;2815;8077;220;1214;17799;219;1399;26760;;3;7;;11;16;;;;;;;;;;;;;53;510;958;2654;11286;40049;4;129;264;225;802;4864;2707;11796;41007;2638;11590;27653;69;206;13354;;960;10378;2707;10836;30629;229;931;5128;203;859;2470;26;72;2658;5;53;1248;224;878;3880;;;;;;;;;;;;;;
5/20/19;25866;1;1;202;1412;18307;89176;313746;610058;216;2741;7987;88651;310997;606421;72;1305;3751;99727;648583;1748029;324;8567;25278;99388;639898;1715790;117;2894;8526;15;117;3;18;89094;313746;609848;216;2734;7817;88651;310997;606421;72;1299;3549;99712;648445;1740661;324;8547;24871;99388;639898;1715790;117;2881;8126;174;1269;17845;184;1453;26873;;3;7;;11;16;;;;;;;;;;;;;26;519;966;691;11976;40740;8;128;266;63;865;4927;717;12495;41706;712;12285;28348;5;210;13358;;1172;10564;717;11323;31142;71;993;5193;68;919;2532;3;74;2661;4;51;1239;67;942;3954;;;;;;;;;;;;;;
5/21/19;25864;1;2;160;1434;18387;66490;313688;616337;579;2959;8033;66224;310955;612625;83;1326;3726;75543;646410;1811854;850;9284;25084;74676;636998;1779817;129;2946;8439;17;127;1;17;66490;313688;616122;577;2954;7877;66224;310955;612625;82;1322;3515;75524;646261;1804492;848;9263;24675;74676;636998;1779817;127;2932;8037;132;1280;17849;143;1451;26927;2;4;8;2;13;18;;;;;;;;;;;;;15;525;959;68;12012;40808;7;129;268;27;885;4954;83;12537;41767;83;12328;28415;;209;13352;9;1136;10575;74;11401;31192;34;1014;5222;34;940;2562;;74;2660;6;59;1247;28;955;3975;;;;;;;;;;;;;;
5/22/19;25864;2;1;193;1372;18416;81769;308560;621704;210;2085;8036;81592;307587;617928;66;992;3678;94392;631686;1896257;360;4962;25011;94014;626632;1864293;91;1933;8372;18;92;5;13;81769;308560;621486;210;2082;7870;81592;307587;617928;66;988;3466;94374;631581;1888896;360;4949;24603;94014;626632;1864293;91;1920;7971;173;1221;17899;195;1329;27024;;3;8;;8;18;;;;;;;;;;;;;39;313;984;277;11407;41085;11;70;277;94;905;5048;316;11720;42069;199;11438;28603;117;282;13466;54;1121;10517;262;10599;31552;105;975;5325;35;850;2595;70;125;2730;29;65;1286;76;910;4039;1;1;;;;;;;;;;;;
5/23/19;25865;3;2;160;1335;18503;61918;303010;622939;396;2009;8022;61184;301655;619148;58;841;3642;69340;617444;1954343;581;4250;24799;68742;613107;1922609;90;1476;8293;17;87;6;13;61878;303010;622720;396;2006;7856;61184;301655;619148;57;838;3428;69322;617347;1947001;580;4240;24392;68742;613107;1922609;89;1466;7893;136;1177;17969;146;1265;27065;1;3;8;1;5;19;;;;;;;;;;;;;16;269;985;557;9369;41642;3;66;276;239;963;5287;573;9638;42627;182;9005;28776;391;633;13851;205;863;10837;368;8775;31790;242;1029;5563;34;707;2626;208;322;2937;95;174;1406;147;855;4157;;1;;;;;;;;;;;;
5/24/19;25866;3;2;119;1221;18581;70605;297882;633393;179;1709;7833;70580;296630;629473;40;632;3607;81434;601115;2023589;257;3403;23590;81173;597640;1993075;64;1091;8099;4;72;4;16;70605;297882;633166;176;1707;7654;70580;296630;629473;38;630;3381;81425;601034;2016253;252;3394;23178;81173;597640;1993075;59;1082;7694;103;1076;18045;107;1140;27061;1;3;7;1;4;18;;;;;;;;;;;;;9;210;982;532;7431;42174;2;40;271;215;1024;5502;541;7641;43156;156;6652;28922;385;989;14234;200;807;11206;341;6834;31950;217;1064;5773;32;569;2652;185;495;3121;89;267;1546;128;797;4227;1;2;;;;;;;;;1;1;1;1
5/25/19;25866;1;1;124;1184;18630;58674;287283;639838;65;1446;7821;58426;286224;636068;20;400;3607;64066;590205;2074840;122;2859;23274;63943;587274;2044641;31;741;7982;1;72;1;16;58674;287283;639838;63;1440;7634;58426;286224;636068;18;393;3376;64061;590120;2067500;118;2846;22859;63943;587274;2044641;27;728;7574;111;1043;18079;111;1105;27072;;3;7;;4;18;;;;;;;;;;;;;6;164;977;509;5288;42683;;35;270;200;1063;5702;515;5452;43660;207;4177;29120;308;1275;14540;162;517;11497;353;4935;32163;200;1098;5972;31;437;2682;169;661;3290;80;377;1713;120;721;4259;;2;;;;;;;;;;1;;1
5/26/19;25866;2;1;141;1071;18687;77976;288443;649166;98;1355;7801;77968;287352;645285;19;300;3583;92305;576807;2155945;145;2639;23191;92160;574096;2125830;30;552;7915;;72;;16;77976;288443;649166;98;1349;7615;77968;287352;645285;19;294;3365;92305;576723;2148610;145;2627;22780;92160;574096;2125830;30;540;7511;131;958;18153;143;1029;27128;;3;7;;4;18;;;;;;;;;;;;;6;117;981;687;3321;43370;;31;270;216;1054;5918;693;3438;44351;350;1889;29468;343;1549;14883;142;910;11919;551;2528;32432;216;1085;6188;58;292;2740;158;793;3448;62;445;1806;154;640;4382;1;3;;;;;;;;;;1;;1
5/27/19;25863;;2;143;1003;18748;66057;274346;654871;478;1404;7866;65649;273166;650922;18;238;3560;77877;554957;2222860;887;3202;23894;76974;551682;2192044;20;455;7843;16;73;5;17;66057;274346;654871;474;1396;7670;65649;273166;650922;15;233;3334;77858;554869;2215524;884;3187;23480;76974;551682;2192044;17;440;7436;136;898;18225;143;988;27210;;3;6;;4;17;;;;;;;;;;;;;20;111;992;608;3238;43978;10;33;277;228;1219;6146;628;3349;44970;229;1406;29689;399;1943;15281;179;1239;12258;449;2110;32712;238;1252;6423;51;275;2788;187;977;3635;90;570;1945;148;682;4478;;3;;;;;;;;;;1;;1
5/28/19;25865;2;;205;1074;18996;58222;270371;662224;438;1328;7892;57898;269717;658186;136;299;3666;67811;547225;2278476;760;3112;23632;67037;544043;2247928;176;502;7802;14;70;4;19;58091;270371;662224;428;1309;7695;57898;269717;658186;128;285;3434;67788;547133;2271139;751;3090;23211;67037;544043;2247928;167;480;7388;181;955;18413;214;1059;27337;;2;6;;2;17;;;;;;;;;;;;;18;114;998;532;3702;44510;10;36;281;234;1426;6380;550;3816;45508;172;1495;29853;378;2321;15655;193;1503;12430;357;2313;33078;244;1462;6661;52;293;2834;192;1169;3827;96;696;2120;148;766;4541;;3;;;;;;;;;;1;;1
5/29/19;25867;3;1;258;1129;18989;71998;264960;664073;601;1483;6530;70816;263994;661696;57;315;2937;79863;532696;2339005;913;3665;21004;78943;528972;2311089;71;482;6449;7;59;2;17;71998;264960;664073;600;1468;6434;70816;263994;661696;54;299;2835;79853;532612;2331912;910;3640;20823;78943;528972;2311089;68;457;6275;237;1006;18491;249;1113;27343;1;2;5;1;3;17;;;;;;;;;;;;;17;92;999;581;4006;45091;6;31;276;277;1609;6657;598;4098;46090;161;1457;30000;437;2641;16090;243;1722;12776;355;2376;33314;283;1640;6933;43;301;2866;240;1339;4067;121;808;2269;162;832;4664;1;3;;;;;;;;;;1;;1
